DeviceID,StartingAt,Pollen,Grass,Tree,Weed/Shrub,Total,PPM3_1,Ambrosia,Artemisia,Asteraceae,Chenopodium / Amaranthus,Cyperaceae,Plantago,Rumex,Acer,Alnus,Betula,Carya,Cupressaceae,Fraxinus,Morus,Urticaceae,Olea,Pinus,Populus,Quercus,Salix,Tilia,Ulmus,Poaceae,Total2,PPM3_2
18219,2020-03-01T00:00:00Z,52.63,5.42618,32.4082,10.0805,47.91488,46.8022801,0,0,0,10.0805,0,0,0,1.37839,3.35134,9.99101,0,0,0,0,0,0,0,0,7.75532,2.56933,0,7.36283,5.42618,47.9149,42.60928312
18219,2020-03-02T00:00:00Z,98.8792,0,86.2538,10.8728,97.1266,87.93030618,0,0,0,10.8728,0,0,0,24.385,5.42618,11.8206,0,0,5.42618,5.42618,0,10.8524,16.2785,0,2.46478,4.17403,0,0,0,97.12665,86.37181605
18219,2020-03-03T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18219,2020-03-04T00:00:00Z,17.5736,5.42618,10.8524,0,16.27858,15.62767527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8524,0,0,5.42618,16.27858,14.47605284
18219,2020-03-05T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18219,2020-03-06T00:00:00Z,93.1823,16.2785,70.7402,0.764676,87.783376,82.86422392,0,0,0,0.764676,0,0,0,0,8.81163,3.42205,0,0,5.42618,15.437,0,0,0,5.42618,0,26.791,0,5.42618,16.2785,87.783396,78.06314056
18219,2020-03-07T00:00:00Z,41.0448,0,33.0346,5.42618,38.46078,36.4999093,0,0,0,5.42618,0,0,0,0,0,0,0,2.08403,0,3.31694,0,0,0,5.42618,9.73803,12.4694,0,0,0,38.46076,34.20200005
18219,2020-03-08T00:00:00Z,3.27068,0,0,0,0,2.908517604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18219,2020-03-09T00:00:00Z,105.777,13.8152,76.1955,8.80197,98.81267,94.06431279,0,0,0,8.80197,0,0,0,5.42618,0,10.8524,0,0,4.1105,2.18282,0,5.42618,32.5571,0,12.0329,3.60746,0,0,13.8152,98.81271,87.87117862
18219,2020-03-10T00:00:00Z,91.0829,5.42618,80.1464,3.51436,89.08694,80.99729048,0,0,0,3.51436,0,0,0,0,11.9815,13.3798,0,0,5.25621,7.61772,0,0,31.0588,0,10.8524,0,0,0,5.42618,89.08697,79.22236981
18219,2020-03-11T00:00:00Z,7.007,0,1.58082,5.42618,7.007,6.23111489,0,0,0,5.42618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58082,0,0,0,7.007,6.23111489
18219,2020-03-12T00:00:00Z,88.0308,0,68.6115,16.5328,85.1443,78.28314952,0,0,0,16.5328,0,0,0,0,1.00235,19.7922,3.92382,0,0,0,0,0,12.3547,1.14708,16.2785,8.68658,0,5.42618,0,85.14421,75.71619163
18219,2020-03-13T00:00:00Z,192.135,0,157.363,32.5652,189.9282,170.8598915,0,0,0,30.8746,0,1.6906,0,0,8.85919,13.0091,6.96838,0,5.42618,5.42618,0,0,59.688,0,47.0501,5.42618,0,5.50998,0,189.92849,168.8977083
18219,2020-03-14T00:00:00Z,112.212,5.42618,86.6362,18.7147,110.77708,99.78676524,0,0,0,18.7147,0,0,0,5.42618,7.11089,17.5838,0,0,0,1.16193,0,2.2534,21.7047,5.42618,6.57792,17.0201,0,2.37109,5.42618,110.77707,98.51072504
18219,2020-03-15T00:00:00Z,108.758,5.42618,89.0564,14.2759,108.75848,96.71522666,0,0,0,8.84973,0,5.42618,0,0,2.78448,8.43873,5.42618,0,0,0,0,0,70.5403,0,0,0,0,1.86666,5.42618,108.75844,96.71561794
18219,2020-03-16T00:00:00Z,38.7543,0,38.7543,0,38.7543,34.46303636,0,0,0,0,0,0,0,0,1.55969,0,0,0,0,1.16512,0,10.4289,5.42618,0,5.42618,9.32202,0,5.42618,0,38.75427,34.46300968
18219,2020-03-17T00:00:00Z,22.1642,0,12.7346,5.42618,18.16078,19.70995813,0,0,0,5.42618,0,0,0,0,0,0,0,0,0,0,0,0,5.42618,0,6.14002,1.16838,0,0,0,18.16076,16.14981905
18219,2020-03-18T00:00:00Z,330.763,3.82123,290.389,32.3796,326.58983,294.137613,0,0,0,26.0445,0,6.33509,0,16.2785,10.0658,37.3903,8.1746,0,6.67792,7.64243,0,11.2152,141.504,9.46423,26.0252,15.9512,0,0,3.82123,326.5902,290.4268672
18219,2020-03-19T00:00:00Z,511.181,5.42618,465.245,37.2745,507.94568,454.5779279,0,0,0,37.2745,0,0,0,19.7318,21.1331,42.7113,8.20819,0,17.7497,6.49617,0,11.1836,284.805,5.42618,28.5546,12.1481,0,7.09686,5.42618,507.94528,451.7004991
