"week","ALDER","ASH","BEECH","BIRCH","COTTONWOOD","ELM","HACKBERRY","HAZELNUT","HICKORY","JUNIPER","MAPLE","MULBERRY","OAK","PINE","PRIVET","SEDGES","SWEET GUM","SYCAMORE","WALNUT","WILLOW","CATTAIL","COCKLEBUR","DOG FENNEL","MUGWORT","NETTLE","PIGWEED","PLANTAIN","RAGWEED","SHEEP SORREL","Total","BETULA"
5,18.05,0,0,2.07,0,51.775,0,0,0,76.92,2.07,0,0,5.325,0,0,0,0,0.295,0,0,0.295,0,0,0,0,0,0.295,0.89,157.985,2.07
6,5.562,0,0,0.828,0,9.94,0,0,0.118,11.596,2.012,0,0.71,1.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.95,0.828
7,1.656,0,0,0.236,0,17.988,0,0,0.236,93.728,0.592,0,0.236,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474,116.446,0.236
8,0,0,0,0,0,11.004,0,0,0.118,11.954,0,0,0,0.472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118,23.666,0
9,0.354,0.236,0,0.354,0,17.396,0.236,0,0.118,46.744,1.422,0,2.012,3.906,0,0.118,0.118,0,0,0,0,0,0,0,0,0,0,0.236,0.236,73.486,0.354
10,0.118,0.236,0,3.314,0,6.862,1.066,0,0.118,14.438,8.402,0,9.586,18.696,0,0,1.066,0.946,0,1.302,0,0,0,0,0,0,0,0,0.472,66.622,3.314
11,0.118,0.118,0,2.484,5.562,1.42,7.69,0,0.118,7.1,4.38,0.236,43.672,47.102,0,0,2.958,4.024,0,2.01,0,0,0,0,0,0,0,0,0.118,129.11,2.484
12,0.62,0.874285714285714,0,11.6057142857143,0.31,4.59285714285714,26.7342857142857,0,1.01428571428571,9.29857142857143,7.26714285714286,12.7057142857143,454.968571428571,383.894285714286,0,0.31,14.5371428571429,11.86,0.0842857142857143,11.72,0,0,0,0,0,0,0,0.0842857142857143,2.45142857142857,954.932857142857,11.6057142857143
13,1.24,19.9457142857143,22.3114285714286,49.5514285714286,1.24,2.48,34.9042857142857,9.91714285714286,6.53714285714286,7.74857142857143,62.9928571428571,283.544285714286,2755.62428571429,1498.66714285714,0,0.31,142.038571428571,134.405714285714,9.60571428571428,51.1871428571429,0.62,0,0,0,0,0,0,0,4.95857142857143,5099.83,59.4685714285714
14,1.24,17.9728571428571,9.60714285714286,13.0171428571429,0.31,0.62,7.74857142857143,3.72,23.2428571428571,2.79,17.0442857142857,950.728571428571,652.618571428571,308.334285714286,5.26857142857143,0.31,46.7928571428571,94.2042857142857,7.43714285714286,45.8642857142857,0,0,0,0,0,0,0,0,3.41,2212.28142857143,16.7371428571429
